System code ,Sytsem name,School name,Zip Code ,    Total population,      Male,      Female,      Median age (years),    Total population,      Hispanic or Latino (of any race),        White alone,        Black or African American alone,        American Indian and Alaska Native alone,        Asian alone,        Native Hawaiian and Other Pacific Islander alone,        Some other race alone,        Two or more races,  Total housing units,"CITIZEN, VOTING AGE POPULATION","    Citizen, 18 and over population",      Male,      Female,Population density ,Bachelor's degree or higher,Graduate or professional degree ,Unemployed,Now married,Average Adjusted Gross Income (AGI) 2013,ELA Number Tested,ELA % Beginning Learner,ELA % Developing Learner,ELA % Proficient Learner,ELA % Distinguished Learner,MATH Number Tested,MATH % Beginning Learner,MATH % Developing Learner,MATH % Proficient Learner,MATH % Distinguished Learner,SCI Number Tested,SCI % Beginning Learner,SCI % Developing Learner,SCI % Proficient Learner,SCI % Distinguished Learner,SS Number Tested,SS % Beginning Learner,SS % Developing Learner,SS % Proficient Learner,SS % Distinguished Learner
,Pike ,Pike ,30295,"4,259","2,222","2,037",41.2,"4,259",34,"3,645",503,0,7,0,0,70,"1,744",,"3,249","1,671","1,578",0,12.2,6.9,8.1,54.7,48318,235,22.6,28.1,33.2,16.2,235,14.0,47.7,31.1,7.2,234,17.5,41.9,29.9,10.7,234,23.1,44.9,17.5,14.5
,Meriwether ,Unity ,30251,"2,772","1,499","1,273",35.9,"2,772",211,"1,673",825,0,0,0,22,41,"1,123",,"1,976",955,"1,021",0,7.5,0.5,8.9,51.5,37736,62,53.2,25.8,14.5,6.5,63,31.7,41.3,25.4,1.6,63,31.7,34.9,28.6,4.8,63,30.2,44.4,14.3,11.1
,Fulton ,Abbotts Hill,30097,"44,256","21,790","22,466",40.0,"44,256","2,878","19,167","5,129",124,"15,858",0,100,"1,000","15,751",,"25,207","12,149","13,058",1,63,27.6,7.6,63.7,147830,125,4.8,8.8,42.4,44.0,125,3.2,14.4,46.4,36.0,124,0.8,22.6,37.9,38.7,124,3.2,25.0,29.8,41.9
,Fulton ,Spalding Drive ,30328,"34,456","15,961","18,495",38.0,"34,456","2,477","22,736","4,812",75,"3,609",26,275,446,"16,514",,"23,230","10,350","12,880",2,65.4,26.8,5.6,52.3,119563,74,27.0,28.4,28.4,16.2,74,18.9,39.2,28.4,13.5,74,12.2,40.5,24.3,23.0,74,21.6,45.9,13.5,18.9
,Fulton ,Feldwood ,30349,"70,334","32,726","37,608",32.9,"70,334","2,056","2,028","64,535",100,404,0,216,995,"29,771",,"47,150","20,844","26,306",1,31,11.7,14.4,34.1,34496,134,51.5,26.9,17.9,3.7,134,42.5,44.0,12.7,0.7,132,46.2,37.1,12.9,3.8,132,50.8,36.4,9.1,3.8
,Fulton ,Lake Windward ,30005,"38,887","19,730","19,157",35.0,"38,887","2,531","22,499","3,177",172,"9,142",53,0,"1,313","12,910",,"21,341","10,817","10,524",2,67.4,26.3,5.9,66.4,123537,102,12.7,20.6,33.3,33.3,105,2.9,18.1,41.0,38.1,105,3.8,24.8,35.2,36.2,102,2.9,31.4,29.4,36.3
,Fulton ,Stonewall Tell,30349,"70,334","32,726","37,608",32.9,"70,334","2,056","2,028","64,535",100,404,0,216,995,"29,771",,"47,150","20,844","26,306",1,31,11.7,14.4,34.1,34496,229,25.8,27.5,32.8,14.0,228,18.9,43.9,32.5,4.8,228,20.2,43.0,28.9,7.9,228,19.3,45.6,21.9,13.2
,Fulton ,Hillside ,30076,"38,887","19,730","19,157",35.0,"38,887","2,531","22,499","3,177",172,"9,142",53,0,"1,313","12,910",,"21,341","10,817","10,524",2,50.1,16.9,5.4,52.1,78063,91,29.7,27.5,33.0,9.9,91,18.7,39.6,30.8,11.0,90,18.9,52.2,20.0,8.9,90,18.9,50.0,21.1,10.0
,Fulton ,Oakley ,30291,"21,951","9,242","12,709",30.4,"21,951","1,452","2,011","18,150",166,21,0,0,151,"9,405",,"14,041","5,889","8,152",1,25.9,6.5,17,31.9,29603,132,44.7,30.3,23.5,1.5,132,31.8,45.5,21.2,1.5,130,35.4,43.1,20.0,1.5,129,34.1,51.9,11.6,2.3
,Fulton ,State Bridge ,30022,"68,274","33,875","34,399",38.5,"68,274","4,600","43,354","7,583",71,"11,058",14,184,"1,410","24,767",,"42,967","21,096","21,871",2,63.3,22.9,6.9,58.4,125564,142,4.2,18.3,37.3,40.1,142,4.2,29.6,44.4,21.8,140,2.9,25.7,35.7,35.7,140,2.9,37.1,32.9,27.1
,Fulton ,Sweet Apple ,30075,"54,858","27,373","27,485",42.3,"54,858","3,934","40,830","6,280",154,"2,522",17,139,982,"21,095",,"37,709","18,071","19,638",1,61.9,21.2,4.9,60.2,116708,125,8.8,22.4,44.8,24.0,125,4.0,19.2,48.8,28.0,124,6.5,20.2,42.7,30.6,124,5.6,31.5,33.1,29.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
